id_venda,id_cliente,nome_cliente,cidade,estado,id_produto,produto,categoria,data,quantidade,preco_unitario
1,110,Juliana Pires,Maringá,PR,203,Herbicida Glifosato,Defensivos,2024-10-19,39,780.0
2,118,Aline Moreira,Cascavel,PR,203,Herbicida Glifosato,Defensivos,2024-10-27,5,780.0
3,102,Maria Souza,Campo Grande,MS,204,Fungicida Triazol,Defensivos,2024-02-27,13,950.0
4,114,Camila Barros,Ribeirão Preto,SP,205,Calcário Agrícola,Corretivos,2024-07-11,22,45.0
5,113,Renato Farias,Presidente Prudente,SP,208,Adubo MAP,Fertilizantes,2024-09-23,33,210.0
6,117,Gustavo Azevedo,Curitiba,PR,208,Adubo MAP,Fertilizantes,2024-01-04,6,210.0
7,105,Pedro Lima,Rio Verde,GO,207,Inseticida Sistêmico,Defensivos,2024-01-17,38,680.0
8,123,Rodrigo Mello,Presidente Prudente,SP,202,Sementes de Milho,Sementes,2024-10-24,39,350.0
9,119,Diego Fonseca,Cuiabá,MT,208,Adubo MAP,Fertilizantes,2024-04-22,1,210.0
10,104,Ana Martins,Campo Grande,MS,201,Adubo NPK 20-05-20,Fertilizantes,2024-09-24,10,120.5
11,119,Diego Fonseca,Rio Verde,GO,207,Inseticida Sistêmico,Defensivos,2024-07-09,40,680.0
12,103,Carlos Pereira,Curitiba,PR,203,Herbicida Glifosato,Defensivos,2024-07-24,8,780.0
13,124,Vanessa Pacheco,Maringá,PR,208,Adubo MAP,Fertilizantes,2024-03-23,19,210.0
14,116,Tatiane Lopes,Maringá,PR,203,Herbicida Glifosato,Defensivos,2024-06-28,4,780.0
15,109,Marcos Vinícius,Jataí,GO,204,Fungicida Triazol,Defensivos,2024-06-29,20,950.0
16,124,Vanessa Pacheco,Rio Verde,GO,208,Adubo MAP,Fertilizantes,2024-04-29,19,210.0
17,119,Diego Fonseca,Toledo,PR,208,Adubo MAP,Fertilizantes,2024-04-21,33,210.0
18,122,Simone Araújo,Goioerê,PR,205,Calcário Agrícola,Corretivos,2024-07-20,15,45.0
19,121,Felipe Guedes,Goioerê,PR,205,Calcário Agrícola,Corretivos,2024-07-17,14,45.0
20,116,Tatiane Lopes,Toledo,PR,202,Sementes de Milho,Sementes,2024-10-16,26,350.0
21,118,Aline Moreira,Dourados,MS,208,Adubo MAP,Fertilizantes,2024-05-03,29,210.0
22,101,João Silva,Presidente Prudente,SP,208,Adubo MAP,Fertilizantes,2024-10-31,40,210.0
23,104,Ana Martins,Cascavel,PR,203,Herbicida Glifosato,Defensivos,2024-05-28,3,780.0
24,113,Renato Farias,Patos de Minas,MG,207,Inseticida Sistêmico,Defensivos,2024-05-05,13,680.0
25,124,Vanessa Pacheco,Campo Grande,MS,207,Inseticida Sistêmico,Defensivos,2024-06-12,11,680.0
26,108,Fernanda Alves,Ribeirão Preto,SP,205,Calcário Agrícola,Corretivos,2024-07-14,15,45.0
27,123,Rodrigo Mello,Goioerê,PR,206,Sementes de Soja,Sementes,2024-09-13,40,420.0
28,102,Maria Souza,Cascavel,PR,202,Sementes de Milho,Sementes,2024-04-05,39,350.0
29,116,Tatiane Lopes,Rio Verde,GO,205,Calcário Agrícola,Corretivos,2024-06-18,24,45.0
30,115,Eduardo Rangel,Umuarama,PR,207,Inseticida Sistêmico,Defensivos,2024-12-31,27,680.0
31,122,Simone Araújo,Ourinhos,SP,201,Adubo NPK 20-05-20,Fertilizantes,2024-03-12,28,120.5
32,121,Felipe Guedes,Presidente Prudente,SP,203,Herbicida Glifosato,Defensivos,2024-05-30,28,780.0
33,118,Aline Moreira,Assis Chateaubriand,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-04-29,5,120.5
34,116,Tatiane Lopes,Londrina,PR,205,Calcário Agrícola,Corretivos,2024-06-01,5,45.0
35,115,Eduardo Rangel,Uberlândia,MG,207,Inseticida Sistêmico,Defensivos,2024-01-15,26,680.0
36,122,Simone Araújo,Dourados,MS,208,Adubo MAP,Fertilizantes,2024-07-04,23,210.0
37,106,Rafael Costa,Goioerê,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-07-13,25,120.5
38,115,Eduardo Rangel,Campo Grande,MS,203,Herbicida Glifosato,Defensivos,2024-11-11,9,780.0
39,116,Tatiane Lopes,Presidente Prudente,SP,201,Adubo NPK 20-05-20,Fertilizantes,2024-12-09,10,120.5
40,115,Eduardo Rangel,Piracicaba,SP,208,Adubo MAP,Fertilizantes,2024-07-19,17,210.0
